item_id,title,current_tags,suggested_add_tags,suggested_folder,suggested_correspondent,confidence,reason,source_query
DqzQYx77SCf-JpAiFcDvuZm-jk1GKvVduc2-JNsQDUmMsoU,39350051-Barro-Sala-I-Martin-Economic-Growth-2nd-Ed-2004.pdf,,bank;contract;insurance;receipt;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched obvious A1 signal; matched receipt/kasov search,"!exist:folder; content:""A1""; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
CvxYncpQtx1-Eey5ojD1g6M-XqyVzWqbiVk-UmKMEh4w82t,45207322-Apositive-Thory-of-Fiscal-Deficits-and-Government-Debt-ALESINA-and-Tabellini.pdf,,insurance,,,0.70,matched insurance/policy search,"!exist:folder; content:""policy""; inbox:yes"
Ep7HdwzFrSv-Mk6h7kX2rPS-RS83U9hUbPL-5soYPYAUHWL,48081509-MACROECONOMIC-EFFECTS-FROM-GOVERNMENT-PURCHASES-AND-TAXES-Barro.pdf,,insurance,,,0.70,matched insurance/policy search,"!exist:folder; content:""policy""; inbox:yes"
FutpvQgFWuu-KCB9Px6mCWe-yjA3aqFY8Q9-DcTnqJesWX3,8520279-alesina-and-perotti.pdf,,bank;insurance,,,0.70,matched bank statement search; matched insurance/policy search,"!exist:folder; content:""policy""; content:""statement""; inbox:yes"
FFEBK7HaohC-1MmaTECLzZR-XhBuZ2gUV6z-TyercGbvHu8,_OceanofPDF.com_BEGINNERS_DIY_GUIDE_TO_HOME_REPAIRS_AND_I_-_Ben_Plummer.pdf,,contract;insurance;invoice;receipt,,,0.70,matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""invoice""; content:""policy""; content:""receipt""; inbox:yes"
3odjeR1Gfzn-qhZfUaP8zSz-AcPz2EPYGka-zgsk3u7eVjB,_OceanofPDF.com_Beginners_Guide_to_DIY_n_Home_Repair_-_Jo_Behari.pdf,,bank;contract,,,0.70,matched bank statement search; matched contract/dogovor search,"!exist:folder; content:""contract""; content:""statement""; inbox:yes"
7YyfrSoAWya-yruStLREecY-u4PjC57f6x8-KAoehZsH9DX,_OceanofPDF.com_Big_Impact_Landscaping_-_Sara_Bendrick.pdf,,bank;contract,,,0.70,matched bank statement search; matched contract/dogovor search,"!exist:folder; content:""contract""; content:""statement""; inbox:yes"
4a5iBu7ZKyF-xPXSJVn1cKs-ScZrYMuf4S2-Y2J5Eb7Cx6P,_OceanofPDF.com_Collins_Complete_Diy_Manual_-_David_Day.pdf,DIY,bank;contract;insurance;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched obvious A1 signal,"!exist:folder; content:""A1""; content:""contract""; content:""policy""; content:""statement"""
5NhiP9RmMXP-HJYH7GVUQ7q-bGaGJLMEESu-tbxweDaRjCb,_OceanofPDF.com_DIY_-_Peter_Parham.pdf,,bank;contract;insurance;invoice;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched obvious A1 signal,"!exist:folder; content:""A1""; content:""contract""; content:""invoice""; content:""policy""; content:""statement""; inbox:yes"
J65VUcA6vgH-cMmA3tb9SUX-LdbzwqpdPRN-W5ZLEvgWid4,_OceanofPDF.com_DIY_Farmhouse_Furnitures_-_Williams_Kendrich.pdf,,telecom,,A1,0.85,matched obvious A1 signal,"!exist:folder; content:""A1""; inbox:yes"
AoWaRw8bpcw-4BrdyPe1Tpw-HhNNsoG3taA-3ydiZb7ZEXS,_OceanofPDF.com_DIY_Repair_Renovate_and_Decorate_Updated_-_Julian_Cassell.pdf,,contract;insurance;invoice;telecom,,A1,0.85,matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched obvious A1 signal,"!exist:folder; content:""A1""; content:""contract""; content:""invoice""; content:""policy""; inbox:yes"
4Q7BH5cavzG-ggwQyq8Fviz-BPczDYsaq2k-CtyMs487adu,_OceanofPDF.com_DIY_Super_For_Dummies_-_Trish_Power.pdf,,bank;contract;insurance;invoice;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""invoice""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
63VcrA4mrrT-MboKc5QHkWr-zNV2anu1A4h-yNtLbrmkLtj,_OceanofPDF.com_DIY_with_Jay_-_Jay_Blades.pdf,,bank;contract;insurance,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; content:""statement""; inbox:yes"
6WcjL2HDDnn-AoF3BCYA2Fm-S64Lcj1nyqJ-ukcZeDJYqLy,_OceanofPDF.com_Farm_DIY_-_Samantha_Johnson.pdf,,insurance,,,0.70,matched insurance/policy search,"!exist:folder; content:""policy""; inbox:yes"
5X5DJkb5rXX-RTF4vac5gkH-vbJvzYWT5m3-JGAp7BLE3qx,_OceanofPDF.com_Growing_Mushrooms__DIY_Guide_to_Master_Mus_-_Thiago_PK_Land.pdf,,bank;contract,,,0.70,matched bank statement search; matched contract/dogovor search,"!exist:folder; content:""contract""; content:""statement""; inbox:yes"
5Js9bgffod1-5U3QCK7psYC-UzBp8m45C7s-5s7mdiKdcQN,_OceanofPDF.com_High_Yield_Small_Space_Organic_Gardening_-_Christy_Wilhelmi.pdf,,receipt,,,0.70,matched receipt/kasov search,"!exist:folder; content:""receipt""; inbox:yes"
HMEXprwe5EL-K2gPfNjRN6a-xm425amTQt8-XqRMTcn6Egc,_OceanofPDF.com_Home_Maintenance_Checklist__Complete_DIY_G_-_Ian_Anderson.pdf,,contract;receipt,,,0.70,matched contract/dogovor search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""receipt""; inbox:yes"
AFLonS5XnXy-93NkNvJGmt8-wd2SRWxnWS5-SwU2ydZxhFZ,_OceanofPDF.com_Quick_n_Easy_Home_DIY_Manual_-_Matt_Weber.pdf,,bank;contract,,,0.70,matched bank statement search; matched contract/dogovor search,"!exist:folder; content:""contract""; content:""statement""; inbox:yes"
C4knwCJ3DNC-ecJTpTLGCLY-3h7AcsbqoGN-ARCGxhYH9i4,_OceanofPDF.com_Sheds_n_Outdoor_Projects_Manual_6th_Ed_-_Design_America_Inc.pdf,,contract;insurance;receipt,,,0.70,matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; inbox:yes"
AUCcNFda6AC-gcjiF5HZWop-m6WJEk491Br-B3GvsSKkGW6,_OceanofPDF.com_THE_DIY_WIRING_SYSTEM_FOR_HOMES__How_to_do_-_DANIEL_ABRAHAM.pdf,,contract,,,0.70,matched contract/dogovor search,"!exist:folder; content:""contract""; inbox:yes"
BKdFe5roa4q-j23Vje2mK9Y-PracfqxLTCX-dgQMdNBGtmF,A Brief History of Economics.pdf,,bank;contract;insurance;receipt;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched obvious A1 signal; matched receipt/kasov search,"!exist:folder; content:""A1""; content:""contract""; content:""policy""; content:""receipt""; content:""statement"""
AKrdc7PZsxe-nZka3qACCxS-2NmpKmf3FLp-1NTayLP2EVQ,A Brief History of Interest.doc,,contract,,,0.70,matched contract/dogovor search,"!exist:folder; content:""contract""; inbox:yes"
BnhTkDrX1gq-KkzsPbR3ze9-vzRZKArVX6G-FAJF81oRSUt,A Primer of Structured Finance.pdf,,contract,,,0.70,matched contract/dogovor search,"!exist:folder; content:""contract""; inbox:yes"
44JgghqgmN7-Hike6MJboih-E4Zi1kw9Shh-xou4LkrDKNb,A Smith and the invisible hand.pdf,Mathematics,contract,,,0.70,matched contract/dogovor search,"!exist:folder; content:""contract""; inbox:yes"
8uJogzUsdzn-QUpojVXnMh8-Xu6KZznwC7T-8X9cDmUCFHM,A Theory of Socialism and Capitalism.pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
AbFkioaifKp-uopHyFzNv87-sMz2QK7VFtu-nqSnXu4ZorW,AAA Structured-Finance.pdf,,bank;banking;contract;insurance;invoice;receipt,,UniCredit,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched obvious UniCredit signal; matched receipt/kasov search,"!exist:folder; content:""UniCredit""; content:""contract""; content:""invoice""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
BuyKdKkbV1s-9ifDV8YVh1L-bEmzq3wVeDk-yG8aKK3dK5c,AAA What is the PESTLE Analysis_.pdf,,insurance,,,0.70,matched insurance/policy search,"!exist:folder; content:""policy""; inbox:yes"
DV1TDiJifUA-qBHLgd3odn8-EdYnBXdSkng-NfNnc6YYxcT,AAA Working Capital Management.pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
7Zqhv9oYc94-QiEwZUkZGLe-rGuZzVWhntv-9QthV1uJNXy,AAA_History of monetary and credit theory.pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
J99xwtUexLg-UQKGKUy4Tht-svwrWyoSfVv-dXX9E8Ew4Wr,AAA_Organisation of debt into currency.pdf,,bank;contract;insurance;invoice;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""invoice""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
Ag1TE5Uo3St-1CW822wsgY7-FxxTLwjqQdZ-c6hJ2Gpogb5,ABC of sustainable development.pdf,,bank;contract;insurance;receipt;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched obvious A1 signal; matched receipt/kasov search,"!exist:folder; content:""A1""; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
13gJDBXgEwk-B8ZXpX83NCz-GqVPyB6DRef-DH9CPpY7PgH,ABOAT TIME - Test with WD 5495.pdf,,telecom,,A1,0.85,matched obvious A1 signal,"!exist:folder; content:""A1""; inbox:yes"
AaZKDN8AJ9F-s9aRzmEpm4Y-tWWeDdDJjHz-ExdFWE1nuzR,advanced-macroeconomics.pdf,,contract;insurance;receipt,,,0.70,matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; inbox:yes"
ChriHTXoWhw-iTDbsYNNnjZ-cQXjwfPV8ky-14osiSkwNLw,AI TOP.docx,,insurance,,,0.70,matched insurance/policy search,"!exist:folder; content:""policy""; inbox:yes"
EEnasjRHa2j-HZ4hQtdzE9X-KpZrJptqkAY-rcHVwZsPhuq,Alesina.docx,,insurance,,,0.70,matched insurance/policy search,"!exist:folder; content:""policy""; inbox:yes"
38VaZURV8Ax-k8dqaxvAE6B-6xg4xJPhjGj-6yNLuxFQgsa,Alesina_Taxes vs Spending.pdf,,contract;insurance;telecom,,A1,0.85,matched contract/dogovor search; matched insurance/policy search; matched obvious A1 signal,"!exist:folder; content:""A1""; content:""contract""; content:""policy""; inbox:yes"
sPN4yBy3Ykh-bAPMwb3KL2n-igNJRUdRDgQ-Langw9GQkV,An-Empire-in-Denial-The-Limits-of-US-Imperialism-Niall-Ferguson.pdf,,insurance;receipt,,,0.70,matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""policy""; content:""receipt""; inbox:yes"
ESh49wfYDUy-frLMs5ZYVH7-KJ5fXa8aQZy-5pXDxsbjVuQ,an-introduction-to-accounting-theory.pdf,,bank;contract;insurance;invoice;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""invoice""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
ArsWfmNtGfy-RLDeegPXQcC-kFPb2NS4ZEX-r1abFgLBay1,Anatomy of the state_ M Rothbard.pdf,,contract;insurance,,,0.70,matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; inbox:yes"
BqRjS1EYSYt-pUMCrNhkUVf-3hJeqokEX2S-oWWJkrKWaoS,Angus-Maddison-The-West-and-the-Rest-in-the-World-Economy-1000-2030.pdf,,contract;insurance;receipt;telecom,,A1,0.85,matched contract/dogovor search; matched insurance/policy search; matched obvious A1 signal; matched receipt/kasov search,"!exist:folder; content:""A1""; content:""contract""; content:""policy""; content:""receipt""; inbox:yes"
FvorjuADx2L-nFyEfZhtvhS-eCXttaKa9jx-SiaMj4nhwBv,Armentano_History of Free Enterprise Ideas.pdf,,bank;contract;insurance;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched obvious A1 signal,"!exist:folder; content:""A1""; content:""contract""; content:""policy""; content:""statement""; inbox:yes"
Gqhp6gk3k52-sqnegqt66CP-iqX1qcXDQL9-CVZVSC86vJN,Ascent of Money-Niall-Fergusson.pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
BsjHEuVsqDc-PYpr1id26QG-esMKW98aghj-yEr1M7Esk51,AudAndAccGuidе Depository And Lending Institutions.pdf,,bank;contract;insurance;invoice;receipt;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched obvious A1 signal; matched receipt/kasov search,"!exist:folder; content:""A1""; content:""contract""; content:""invoice""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
FPqovdjVxre-pcup9p922yF-unQXgbvmUoz-DRAYtipCW31,Augusto-Graziani-The-Marxist-Theory-of-Money.pdf,,bank;contract,,,0.70,matched bank statement search; matched contract/dogovor search,"!exist:folder; content:""contract""; content:""statement""; inbox:yes"
DwQ5TjUgj9q-e314rTb4iQt-D3WrTu7v8wj-5fMgd8KamAr,Austrian Money Supply.pdf,,insurance;receipt,,,0.70,matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""policy""; content:""receipt""; inbox:yes"
QYtEfMcyAZG-3JR8rS6ATaf-oPeqgP4iW7r-Qs165TLzQh,Austrian theory of money.pdf,,bank;insurance,,,0.70,matched bank statement search; matched insurance/policy search,"!exist:folder; content:""policy""; content:""statement""; inbox:yes"
DNPb4DpoSaL-Qy18HNT1WLb-6im9CBZcx6o-H2XYSWg6Xw8,Bank Failures And Regulation Responses.pdf,,bank;insurance,,,0.70,matched bank statement search; matched insurance/policy search,"!exist:folder; content:""policy""; content:""statement""; inbox:yes"
8k5eBvaJeri-fCuWcKivymW-ADCKUtgZWXD-2RWcAaUE49X,Banking & Innovation 2017.pdf,,bank;banking,,Postbank,0.85,matched bank statement search; matched obvious Postbank signal,"!exist:folder; content:""Postbank""; inbox:yes"
4AvXZZTtYx3-Xo7LW9rhXzF-4ddiaBXmcJ2-DZSXv5HwZvB,Banking innovations.pdf,,bank,,,0.65,matched bank statement search,"!exist:folder; content:""банка""; inbox:yes"
EFdu22zKAe6-R3uTdGbc8tQ-6m4YSPjT3Pz-E7uX2cB18iH,banking-an-introduction.pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
44Xg4mTQhbc-5TgghhUSJVv-1GpbJcS6CgK-rQNTvE1yWYs,Banned Books_Literature suppressed on sexual grounds.pdf,,bank;contract;insurance;invoice;receipt;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched obvious A1 signal; matched receipt/kasov search,"!exist:folder; content:""A1""; content:""contract""; content:""invoice""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
Gc6kH7KmWrj-MBQMvWsJW6C-xUuTFgzPaYD-LCTtxcCs3oz,Barry Eichengreen - Capital Flows and Crises.pdf,,bank;contract;insurance;invoice;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""invoice""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
DFXwXJyUwUd-6oAbyMnXKn7-eQU9tVEgwFb-3yeKT1rrNj6,Basic mathematics for economists.pdf,,bank;contract;insurance;receipt;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched obvious A1 signal; matched receipt/kasov search,"!exist:folder; content:""A1""; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
8W5yrgjMmGU-F5v85QzdVMx-ayc29nUC8fx-6s5wQE9eHHp,basics-of-international-financial-reporting.pdf,,bank;contract;insurance;invoice,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search,"!exist:folder; content:""contract""; content:""invoice""; content:""policy""; content:""statement""; inbox:yes"
AK7DhjnDuvE-tXBoK6VPbVW-24U1EQiV1yL-MqQeGbkecUS,"Bernstein - A Primer on Money, Banking and Gold (2008).pdf",,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
yWD9vydyev7-TAPEY8ihEC6-1MEAUMZMVST-UrvQs8uVUo,Beyond the Limits to Growth New Ideas for Sustainability from Japan.pdf,,bank;contract;insurance,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; content:""statement""; inbox:yes"
8Yo15jgBhtp-k6sVnMinZve-LYDHwWsCAgw-FucnZAPioAY,BFFIADITBI.pdf,,bank;contract;insurance,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; content:""statement""; inbox:yes"
Ldi7GEXjkjx-UjBmtH3B4vB-hgnmWeQ1gQ9-zoE9T4F3Yv,Bitcoin And the Future of Money.pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
71sXi51BPGZ-i1xbZ3xHmbR-c6pyYBFCKYx-ZwTgL6sQSQw,Black & Decker the Complete Guide to Garages (Black & Decker Complete Guide To...) ( PDFDrive ).pdf,,bank;contract,,,0.70,matched bank statement search; matched contract/dogovor search,"!exist:folder; content:""contract""; content:""statement""; inbox:yes"
G9w9SLuR8ZZ-7haNtwshg5Z-qg8MnDbkVz2-osBzB4Ws2FL,"Black & Decker The Complete Guide to Greenhouses & Garden Projects_ Greenhouses, Cold Frames, Compost Bins, Trellises, Planting Beds, Potting Benches & More ( PDFDrive ).pdf",,bank;contract,,,0.70,matched bank statement search; matched contract/dogovor search,"!exist:folder; content:""contract""; content:""statement""; inbox:yes"
H3fP3hfkUqN-CAgcBbzfehv-gvbXjXQiPXf-cRskd8SBBYN,Black & Decker The Complete Guide to Plumbing_ Expanded 4th Edition - Modern Materials and Current Codes - All New Guide to Working with Gas Pipe ( PDFDrive ).pdf,,contract;insurance,,,0.70,matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; inbox:yes"
8mCyhE19LNV-tqjDJuei7Ro-6PauYvzVt9a-Fj3e1e8LHQN,"Black & Decker The Complete Photo Guide to Home Decorating Projects  DIY Projects to Transform Walls, Windows, Furniture, Floors & More (Black & Decker Complete Photo Guide) ( PDFDrive ).pdf",,bank;contract,,,0.70,matched bank statement search; matched contract/dogovor search,"!exist:folder; content:""contract""; content:""statement""; inbox:yes"
CcPw6Wp623a-8WkfjWP8vHw-ZuXePRdUFcX-kZzAbWDEGsr,Black & Decker The Complete Photo Guide to Home Repair_ with 350 Projects and 2000 Photos ( PDFDrive ).pdf,,bank;contract,,,0.70,matched bank statement search; matched contract/dogovor search,"!exist:folder; content:""contract""; content:""statement""; inbox:yes"
BqkisAzodsa-LV4ydpCY4Je-Y8DFmzd7YM1-8WeMidyMMW1,BNP-Paribas-Guide-to-Structured-Products.pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
DWyrrWRTT7X-B2WNVwU7iwV-uWnk8y6S393-pBSYu69rq34,bond-market-an-introduction.pdf,,insurance;telecom,,A1,0.85,matched insurance/policy search; matched obvious A1 signal,"!exist:folder; content:""A1""; content:""policy""; inbox:yes"
AXukh1veA9j-KrdPMpKXgGX-UHb8ReDaofW-yxyZ8QEC7en,BOOKBOON.docx,,bank;insurance,,,0.70,matched bank statement search; matched insurance/policy search,"!exist:folder; content:""policy""; content:""statement""; inbox:yes"
2S2R5JiVWNt-T6vDNNj4eJg-xoTDpfFWuoz-3ahg5ajxPuQ,booklinks.pdf,,contract,,,0.70,matched contract/dogovor search,"!exist:folder; content:""contract""; inbox:yes"
3yynPUpTKAv-yybiHNzBuy6-ycyKawieqAb-r8V2RPKqjL7,Books on money & banking.docx,,bank;contract;insurance,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; content:""statement""; inbox:yes"
55DKcRM2MkW-tF5HEvaYBbR-R1p7tzei61Q-8twpJhrrUHr,Bracking - Money and Power; Great Predators in the Political Economy of Development (2009).pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
AAZkNpnjPri-M6DR4yW9i9t-sAJdhfGc9HV-mE519X1Hh7V,Bretton Woods {Hazlit}.pdf,,bank;contract;insurance,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; content:""statement""; inbox:yes"
EnbjSSqNsxp-2bDtTh6v9jr-LfwNH8rGQnj-eK9vX389AwJ,British-Imperialism-the-Costs-and-Benefits-of-Anglobalizaton-Niall-Ferguson.pdf,,bank;contract;insurance,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; content:""statement""; inbox:yes"
3qvE6iwwSqo-6jE7FVFMZwN-6oEDPXkEXP2-oSc8JWZD72x,Brown - The Global Curse of the Federal Reserve; Manifesto for a Second Monetarist Revolution (2011).pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
B6ycyh1iZFG-hXG7t4RjuUp-8wDpkUnP5xC-3K3YbR5tFyh,Bubbles_by D French.pdf,,insurance;receipt,,,0.70,matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""policy""; content:""receipt""; inbox:yes"
AoNnmG5D6rX-j46h7noWDXc-D4ajVBU1CyW-RFcjwfzDwni,Buchanan ob Public Debt finance.pdf,,bank;contract;insurance,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; content:""statement""; inbox:yes"
6SNmcPvfDba-g7feNjZWZEE-GMCS5UH5kLz-wKBLvFc5rU8,Buchanan-the-Power-to-Tax.pdf,,bank;contract;insurance;receipt;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched obvious A1 signal; matched receipt/kasov search,"!exist:folder; content:""A1""; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
FWyJ4JR8BMc-wP6foEfrXts-AgLYvZ8SB4j-h1wCZ3BRRLH,Business Briefs.pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
